Linha,050
Tabela,005-2
num,ponto,horario
105811,TERMINAL PORTAO(SENT.OFICINAS),16:30
105607,TERMINAL V.OFICINAS,17:12
105804,TERMINAL PORTAO(SENT.FAZENDIN),18:02
105312,TERMINAL FAZENDINHA,18:21
105811,TERMINAL PORTAO(SENT.OFICINAS),18:39
105607,TERMINAL V.OFICINAS,19:23
105804,TERMINAL PORTAO(SENT.FAZENDIN),20:04
105312,TERMINAL FAZENDINHA,20:19
105811,TERMINAL PORTAO(SENT.OFICINAS),20:33
105607,TERMINAL V.OFICINAS,21:05
105804,TERMINAL PORTAO(SENT.FAZENDIN),21:40
105312,TERMINAL FAZENDINHA,21:56
105811,TERMINAL PORTAO(SENT.OFICINAS),22:09
105607,TERMINAL V.OFICINAS,22:41
105804,TERMINAL PORTAO(SENT.FAZENDIN),23:17
105312,TERMINAL FAZENDINHA,23:33
105811,TERMINAL PORTAO(SENT.OFICINAS),23:46
