Linha,011
Tabela,002-2
num,ponto,horario
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),14:12
120104,PREFEITURA (SENT.ANTI-HORARIO),14:40
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),15:22
120104,PREFEITURA (SENT.ANTI-HORARIO),15:50
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),16:32
120104,PREFEITURA (SENT.ANTI-HORARIO),17:00
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),17:42
120104,PREFEITURA (SENT.ANTI-HORARIO),18:08
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),18:50
120104,PREFEITURA (SENT.ANTI-HORARIO),19:16
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),19:58
120104,PREFEITURA (SENT.ANTI-HORARIO),20:23
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),21:03
120104,PREFEITURA (SENT.ANTI-HORARIO),21:28
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),22:03
120104,PREFEITURA (SENT.ANTI-HORARIO),22:28
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),23:03
120104,PREFEITURA (SENT.ANTI-HORARIO),23:25
141011,ESTAÇÃO PUC (SENTIDO ANTI-HORÁRIO),00:00
