CÓDIGO	LINHAS	CATEGORIA
X03	Especial B. Alto	Linha Direta
X04	Especial Centenário / C. Siqueira	Bi-Articulado
X05	Especial Natal	Convencional
X06	S. José / Boqueirão	Alimentador
X08	Capão Raso / Portão	Alimentador
X09	Col. Gabriela	Metropolitano
X10	Planta Tereza Glaser	Alimentador
X11	Pinheirinho / C. Raso	Bi-Articulado
X11	Portão / Pinheirinho	Bi-Articulado
X11	Sítio Cercado / C. Raso	Bi-Articulado
X12	Esp. Boqueirão	Bi-Articulado
X14	Reforço Hauer	Alimentador
X16	Puc / Rodoferroviária	Linha Direta
X17	Especial BR476	Alimentador
X18	Especial Paul Garfunkel	Alimentador
X19	Especial Hasdrubal Belegard	Alimentador
X20	Sítio Cercado / Portão	Bi-Articulado
X21	Reforço Hauer / IFPR	Alimentador
X22	Reforço Portão	Linha Direta
Z01	Unibrasil / Tubo Detran	Convencional
Z02	Uniandrade / Santa Quitéria	Convencional
Z03	Vicente de Carvalho / C. da Imbuia	Convencional
		
LINHAS ANTIGAS - ANO 1985		
		
101	Primavera	Convencional
102	C. Roseira / Raquel Prado	Convencional
103	C. Roseira / Bom Retiro	Convencional
104	Abranches	Convencional
105	Taboão / Campo Santo	Convencional
106	Marechal Hermes	Convencional
107	Mateus Leme	Convencional
108	Vila Nori	Convencional
109	Nilo Peçanha	Convencional
110	Raposo Tavares	Convencional
111	Jardim Kosmos	Convencional
112	Conj. Tocantins	Convencional
113	Canal Belém	Convencional
114	Fredolin Wolf	Convencional
118	Vila Suiça	Convencional
119	Jardim Chaparral	Convencional
151	Uberaba	Convencional
152	Jardim Centauro	Convencional
153	Vila Macedo	Convencional
157	Vila Guaira	Convencional
158	Vila Parolim	Convencional
159	Vila Lindóia	Convencional
160	Dom Ático	Convencional
161	Vila São Pedro	Convencional
162	Xaxim	Convencional
168	Vila Guilermina	Convencional
169	Guabirotuba	Convencional
171	Vila São Paulo	Convencional
172	Alferes Polis	Convencional
173	Jardim Paranaense	Convencional
201	Ahú / Los Angeles	Convencional
202	Estribo Ahú	Convencional
203	Barreirinha	Convencional
204	Boa Vista	Convencional
211	Sta Efigenia	Convencional
213	Sta Terezinha	Convencional
214	Fernando de Noronha	Convencional
215	Conj Laranjeiras	Convencional
217	Paineiras	Convencional
218	Vila Leonice	Convencional
219	Vila Ipiranga	Convencional
220	Cachoeira	Convencional
251	Jardim Mercês / Guanabara	Convencional
252	Juvevê / Campo Santo	Convencional
255	C. Raso / Kennedy	Convencional
257	Portão	Convencional
259	Vila Formosa	Convencional
260	Vila Izabel	Convencional
261	Sta Quitéria	Convencional
262	Agua Verde / Praça 19 de Dezembro	Convencional
263	Vila São Jorge	Convencional
264	Nossa Senhora da Luz	Convencional
265	Carmela Dutra	Convencional
266	Sta Amelia	Convencional
267	Sta Helena	Convencional
268	Av. Brasilia	Convencional
271	Vila Cubas	Convencional
275	Jardim Santos Andrade	Convencional
276	Frigorifico Sta Helena	Convencional
277	Jardim Independência	Convencional
278	Fazendinha	Convencional
279	Vila Velha	Convencional
280	Vila Rosinha	Convencional
281	Itatiaia	Convencional
282	Porto Belo	Convencional
298	Br 116 / Cic	Convencional
299	Br 116 / Cic	Convencional
301	Hugo lange	Convencional
302	Tarumã / Carlos Gomes	Convencional
303	Detran / Vicente Machado	Convencional
304	Rua XV / Barigui	Convencional
305	Higienópolis	Convencional
306	Augusto Stresser	Convencional
307	Alto Tarumã	Convencional
309	Batel / Jardim Social	Convencional
310	Novena	Convencional
311	Sacre Couer	Convencional
312	Itupava / Hospital Militar	Convencional
313	Paraiso	Convencional
352	Los Angeles / Centro Cívico	Convencional
354	Vila Sandra / Campo Comprido	Convencional
400	Hospital Erasto Gaertner	Convencional
402	Cajuru	Convencional
404	Capanema / Cruzeiro do Sul	Convencional
405	Linha dos Estudantes / Passeio Público	Convencional
407	Solitude	Convencional
410	Cruzeiro do Sul	Convencional
411	Nossa Senhora de Lourdes	Convencional
414	Jardim Sta Bárbara	Convencional
420	Cristo Rei	Convencional
451	Vista Alegre	Convencional
453	Cândido Hartmann	Convencional
454	Bigorrilho	Convencional
455	Campina do Siqueira	Convencional
456	Mercês / Alcidez Munhoz	Convencional
457	Sta Felicidade / Esperança	Convencional
458	Sta Felicidade / Pinheiros	Convencional
459	Sta Felicidade / Virginia	Convencional
460	São Braz	Convencional
461	Jardim Savóia	Convencional
463	Vista Alegre / Julio Graff	Convencional
464	Sta Felicidade / Ipê	Convencional
465	Sta Felicidade / José Culpi	Convencional
467	Sta Felicidade / Cristina	Convencional
469	Sta Felicidade / Itália	Convencional
470	Três Marias	Convencional
471	Montana	Convencional
480	Sta Felicidade / Passaúna	Convencional
481	Sta Felicidade / Ouro Verde	Convencional
482	Vila São Bernardo	Convencional
482	São Bernardo	Convencional
	Ctba / Aeroporto Afonso Pena (via Av. Torres)	
	Ctba / Aeroporto Afonso Pena (via Boqueirão)	
	Ctba / Agua Clara	
	Ctba / Almirante Tamandare	
	Ctba / Araucaria (via Br 116)	
	Ctba / Araucaria (via Estrada Velha)	
	Ctba / Barigui	
	Ctba / Bateias	
	Ctba / Bocaíuva do Sul	
	Ctba / Borda do Campo	
	Ctba / Cachoeira São Jorge	
	Ctba / Campina Grande do Sul	
	Ctba / Campo Largo (estrada nova)	
	Ctba / Campo Largo (estrada velha)	
	Ctba / Campo Magro	
	Ctba / Capela do Atuba	
	Ctba / Capivari	
	Ctba / Cerne	
	Ctba / Colombo (via boa vista - pr-417)	
	Ctba / Colombo (via Olaria)	
	Ctba / Colombo (via Vila Guaraci)	
	Ctba / Colonia Faria	
	Ctba / Conceição	
	Ctba / Conjunto Apolo	
	Ctba / Conjunto Claudia	
	Ctba / Contenda	
	Ctba / Estação de Pinhais	
	Ctba / Fazenda Rio Grande	
	Ctba / Ferraria (estrada nova)	
	Ctba / Ferraria (estrada velha)	
	Ctba / Guaraituba (via porteira)	
	Ctba / Itaperussu	
	Ctba / Itaqui	
	Ctba / Jardim Ana Rosa	
	Ctba / Jardim Aquila	
	Ctba / Jardim Boa Vista	
	Ctba / Jardim Bonfim	
	Ctba / Jardim Cesar Augusto	
	Ctba / Jardim Bom Pastor	
	Ctba / Jardim das Graças	
	Ctba / Jardim Gramado	
	Ctba / Jardim Graziela	
	Ctba / Jardim Guabirotuba	
	Ctba / Jardim La Paloma	
	Ctba / Jardim Monza	
	Ctba / Jardim Osasco	
	Ctba / Jardim Paraiso	
	Ctba / Jardim Ypê	
	Ctba / Jardim Weissópolis	
	Ctba / Lavra	
	Ctba / Mandirituba	
	Ctba / Mandassaia	
	Ctba / Maria Antonieta	
	Ctba / Palmital (via atuba)	
	Ctba / Parque Castelo Branco	
	Ctba / Pedro Moro (via boqueirão)	
	Ctba / Pinhais (via tarumã)	
	Ctba / Piraquara	
	Ctba / Posto Paris	
	Ctba / Pousada Quatro Barras	
	Ctba/ Quatro Barras (via br 116)	
	Ctba/ Quatro Barras (via estrada velha)	
	Ctba/ Quatro Barras (via hospital)	
	Ctba / Refinaria Araucaria	
	Ctba / Rio Branco do Sul	
	Ctba / Rio Pardo	
	Ctba / Roça Grande	
	Ctba / Roseira	
	Ctba / São José dos Pinhais (via av. torres)	
	Ctba / São José dos Pinhais (via boqueirão)	
	Ctba / São Sebastião	
	Ctba / Shopping Center Pinhais	
	Ctba / Tangua	
	Ctba / Terminal Urano	
	Ctba / Tietê	
	Ctba / Timbu	
	Ctba / Tranqueira	
	Ctba / Vargem Grande	
	Ctba / Vila Amélia	
	Ctba / Vila Gorski	
	Ctba / Guaraci (rio Verde)	
	Ctba / Vila Macedo	
	Ctba / Vila Perneta	
	Ctba / Vila Prado	
	Ctba / Vila Tebas (atuba)	
