Linha,205
Tabela,003
num,ponto,horario
104103,TERMINAL BARREIRINHA,06:20
101161,TRAVESSA MOREIRA GARCEZ,06:42
104103,TERMINAL BARREIRINHA,07:05
101161,TRAVESSA MOREIRA GARCEZ,07:29
104103,TERMINAL BARREIRINHA,07:52
101161,TRAVESSA MOREIRA GARCEZ,08:17
104103,TERMINAL BARREIRINHA,08:40
101161,TRAVESSA MOREIRA GARCEZ,09:05
104103,TERMINAL BARREIRINHA,09:28
101161,TRAVESSA MOREIRA GARCEZ,09:53
104103,TERMINAL BARREIRINHA,10:16
101161,TRAVESSA MOREIRA GARCEZ,10:40
104103,TERMINAL BARREIRINHA,11:04
101161,TRAVESSA MOREIRA GARCEZ,11:28
104103,TERMINAL BARREIRINHA,11:52
101161,TRAVESSA MOREIRA GARCEZ,12:16
104103,TERMINAL BARREIRINHA,12:40
101161,TRAVESSA MOREIRA GARCEZ,13:04
104103,TERMINAL BARREIRINHA,13:28
101161,TRAVESSA MOREIRA GARCEZ,13:52
104103,TERMINAL BARREIRINHA,14:17
101161,TRAVESSA MOREIRA GARCEZ,14:40
104103,TERMINAL BARREIRINHA,15:05
101161,TRAVESSA MOREIRA GARCEZ,15:28
104103,TERMINAL BARREIRINHA,15:53
101161,TRAVESSA MOREIRA GARCEZ,16:16
104103,TERMINAL BARREIRINHA,16:41
101161,TRAVESSA MOREIRA GARCEZ,17:04
104103,TERMINAL BARREIRINHA,17:30
101161,TRAVESSA MOREIRA GARCEZ,17:52
104103,TERMINAL BARREIRINHA,18:18
101161,TRAVESSA MOREIRA GARCEZ,18:40
104103,TERMINAL BARREIRINHA,19:06
101161,TRAVESSA MOREIRA GARCEZ,19:28
