Linha,236
Tabela,002-2
num,ponto,horario
105904,TERMINAL SANTA CANDIDA,17:12
121008,BAIRRO SAO BENEDITO,17:33
105904,TERMINAL SANTA CANDIDA,17:56
121008,BAIRRO SAO BENEDITO,18:17
105904,TERMINAL SANTA CANDIDA,18:40
121008,BAIRRO SAO BENEDITO,19:02
105904,TERMINAL SANTA CANDIDA,19:26
121008,BAIRRO SAO BENEDITO,19:50
105904,TERMINAL SANTA CANDIDA,20:15
121008,BAIRRO SAO BENEDITO,20:35
105904,TERMINAL SANTA CANDIDA,20:55
121008,BAIRRO SAO BENEDITO,21:15
105904,TERMINAL SANTA CANDIDA,21:37
121008,BAIRRO SAO BENEDITO,22:00
105904,TERMINAL SANTA CANDIDA,22:23
121008,BAIRRO SAO BENEDITO,22:45
105904,TERMINAL SANTA CANDIDA,23:05
121008,BAIRRO SAO BENEDITO,23:22
105904,TERMINAL SANTA CANDIDA,23:42
121008,BAIRRO SAO BENEDITO,00:00
105904,TERMINAL SANTA CANDIDA,00:20
