Linha,023
Tabela,031-2
num,ponto,horario
109083,TERMINAL CABRAL,16:58
109167,TERMINAL CAMPINA DO SIQUEIRA,17:30
109089,TERMINAL PORTAO,17:54
109093,TERMINAL CAPAO RASO,18:01
109109,TERMINAL HAUER,18:22
109117,TERMINAL CAPAO DA IMBUIA,18:41
109083,TERMINAL CABRAL,19:08
109167,TERMINAL CAMPINA DO SIQUEIRA,19:35
109089,TERMINAL PORTAO,19:53
109093,TERMINAL CAPAO RASO,20:00
109109,TERMINAL HAUER,20:23
109117,TERMINAL CAPAO DA IMBUIA,20:39
109083,TERMINAL CABRAL,21:00
109167,TERMINAL CAMPINA DO SIQUEIRA,21:24
109089,TERMINAL PORTAO,21:40
109093,TERMINAL CAPAO RASO,21:47
109109,TERMINAL HAUER,22:03
109117,TERMINAL CAPAO DA IMBUIA,22:19
