Linha,023
Tabela,031-1
num,ponto,horario
109083,TERMINAL CABRAL,05:44
109167,TERMINAL CAMPINA DO SIQUEIRA,06:10
109089,TERMINAL PORTAO,06:28
109093,TERMINAL CAPAO RASO,06:35
109109,TERMINAL HAUER,06:50
109117,TERMINAL CAPAO DA IMBUIA,07:06
109083,TERMINAL CABRAL,07:28
109167,TERMINAL CAMPINA DO SIQUEIRA,07:54
109089,TERMINAL PORTAO,08:13
109093,TERMINAL CAPAO RASO,08:20
109109,TERMINAL HAUER,08:37
109117,TERMINAL CAPAO DA IMBUIA,08:53
109083,TERMINAL CABRAL,09:17
109167,TERMINAL CAMPINA DO SIQUEIRA,09:43
109089,TERMINAL PORTAO,10:02
109093,TERMINAL CAPAO RASO,10:09
109109,TERMINAL HAUER,10:28
109117,TERMINAL CAPAO DA IMBUIA,10:46
109083,TERMINAL CABRAL,11:09
109167,TERMINAL CAMPINA DO SIQUEIRA,11:38
109089,TERMINAL PORTAO,11:57
109093,TERMINAL CAPAO RASO,12:04
109109,TERMINAL HAUER,12:23
109117,TERMINAL CAPAO DA IMBUIA,12:41
