Linha,023
Tabela,032-1
num,ponto,horario
109093,TERMINAL CAPAO RASO,05:47
109109,TERMINAL HAUER,06:02
109117,TERMINAL CAPAO DA IMBUIA,06:21
109083,TERMINAL CABRAL,06:44
109167,TERMINAL CAMPINA DO SIQUEIRA,07:08
109089,TERMINAL PORTAO,07:25
109093,TERMINAL CAPAO RASO,07:32
109109,TERMINAL HAUER,07:49
109117,TERMINAL CAPAO DA IMBUIA,08:05
109083,TERMINAL CABRAL,08:26
109167,TERMINAL CAMPINA DO SIQUEIRA,08:53
109089,TERMINAL PORTAO,09:09
109093,TERMINAL CAPAO RASO,09:16
109109,TERMINAL HAUER,09:35
109117,TERMINAL CAPAO DA IMBUIA,09:53
109083,TERMINAL CABRAL,10:16
109167,TERMINAL CAMPINA DO SIQUEIRA,10:45
109089,TERMINAL PORTAO,11:04
