Linha,023
Tabela,004-2
num,ponto,horario
109167,TERMINAL CAMPINA DO SIQUEIRA,17:00
109089,TERMINAL PORTAO,17:24
109093,TERMINAL CAPAO RASO,17:31
109109,TERMINAL HAUER,17:50
109117,TERMINAL CAPAO DA IMBUIA,18:10
109083,TERMINAL CABRAL,18:37
109167,TERMINAL CAMPINA DO SIQUEIRA,19:12
109089,TERMINAL PORTAO,19:34
109093,TERMINAL CAPAO RASO,19:41
109109,TERMINAL HAUER,19:58
109117,TERMINAL CAPAO DA IMBUIA,20:14
109083,TERMINAL CABRAL,20:35
109167,TERMINAL CAMPINA DO SIQUEIRA,20:59
109089,TERMINAL PORTAO,21:15
109093,TERMINAL CAPAO RASO,21:22
109109,TERMINAL HAUER,21:37
109117,TERMINAL CAPAO DA IMBUIA,21:53
109083,TERMINAL CABRAL,22:15
109167,TERMINAL CAMPINA DO SIQUEIRA,22:40
109089,TERMINAL PORTAO,22:56
109093,TERMINAL CAPAO RASO,23:03
109109,TERMINAL HAUER,23:18
109117,TERMINAL CAPAO DA IMBUIA,23:34
