Linha,304
Tabela,001-2
num,ponto,horario
109052,TUBO TIRADENTES,16:35
109143,ESTACAO TUBO PINHAIS,17:10
109054,TUBO NESTOR DE CASTRO,17:42
109043,ESTACAO TUBO CIC NORTE,18:15
109052,TUBO TIRADENTES,18:48
109143,ESTACAO TUBO PINHAIS,19:23
109054,TUBO NESTOR DE CASTRO,19:49
109043,ESTACAO TUBO CIC NORTE,20:14
109052,TUBO TIRADENTES,20:40
109143,ESTACAO TUBO PINHAIS,21:05
109054,TUBO NESTOR DE CASTRO,21:31
109043,ESTACAO TUBO CIC NORTE,21:56
109052,TUBO TIRADENTES,22:22
109143,ESTACAO TUBO PINHAIS,22:47
109054,TUBO NESTOR DE CASTRO,23:13
109043,ESTACAO TUBO CIC NORTE,23:38
109052,TUBO TIRADENTES,00:04
