Linha,304
Tabela,012-2
num,ponto,horario
109052,TUBO TIRADENTES,16:07
109143,ESTACAO TUBO PINHAIS,16:42
109054,TUBO NESTOR DE CASTRO,17:14
109043,ESTACAO TUBO CIC NORTE,17:47
109052,TUBO TIRADENTES,18:20
109143,ESTACAO TUBO PINHAIS,18:52
109054,TUBO NESTOR DE CASTRO,19:18
109043,ESTACAO TUBO CIC NORTE,19:41
109052,TUBO TIRADENTES,20:07
109143,ESTACAO TUBO PINHAIS,20:31
109054,TUBO NESTOR DE CASTRO,20:57
109043,ESTACAO TUBO CIC NORTE,21:22
109052,TUBO TIRADENTES,21:48
109143,ESTACAO TUBO PINHAIS,22:13
109054,TUBO NESTOR DE CASTRO,22:39
109043,ESTACAO TUBO CIC NORTE,23:04
109052,TUBO TIRADENTES,23:32
