Linha,304
Tabela,002-2
num,ponto,horario
109052,TUBO TIRADENTES,16:18
109143,ESTACAO TUBO PINHAIS,16:48
109054,TUBO NESTOR DE CASTRO,17:15
109043,ESTACAO TUBO CIC NORTE,17:45
109052,TUBO TIRADENTES,18:15
109143,ESTACAO TUBO PINHAIS,18:53
109054,TUBO NESTOR DE CASTRO,19:19
109043,ESTACAO TUBO CIC NORTE,19:47
109052,TUBO TIRADENTES,20:11
109143,ESTACAO TUBO PINHAIS,20:38
109054,TUBO NESTOR DE CASTRO,21:02
109043,ESTACAO TUBO CIC NORTE,21:29
109052,TUBO TIRADENTES,21:53
109143,ESTACAO TUBO PINHAIS,22:20
109054,TUBO NESTOR DE CASTRO,22:44
109043,ESTACAO TUBO CIC NORTE,23:10
109052,TUBO TIRADENTES,23:34
