Linha,304
Tabela,004-2
num,ponto,horario
109052,TUBO TIRADENTES,16:21
109143,ESTACAO TUBO PINHAIS,16:56
109054,TUBO NESTOR DE CASTRO,17:28
109043,ESTACAO TUBO CIC NORTE,18:01
109052,TUBO TIRADENTES,18:34
109143,ESTACAO TUBO PINHAIS,19:06
109054,TUBO NESTOR DE CASTRO,19:32
109043,ESTACAO TUBO CIC NORTE,19:57
109052,TUBO TIRADENTES,20:23
109143,ESTACAO TUBO PINHAIS,20:48
109054,TUBO NESTOR DE CASTRO,21:14
109043,ESTACAO TUBO CIC NORTE,21:39
109052,TUBO TIRADENTES,22:05
109143,ESTACAO TUBO PINHAIS,22:30
109054,TUBO NESTOR DE CASTRO,22:56
109043,ESTACAO TUBO CIC NORTE,23:24
109052,TUBO TIRADENTES,23:50
