Linha,304
Tabela,017
num,ponto,horario
109043,ESTACAO TUBO CIC NORTE,15:34
109052,TUBO TIRADENTES,16:02
109143,ESTACAO TUBO PINHAIS,16:33
109054,TUBO NESTOR DE CASTRO,17:00
109043,ESTACAO TUBO CIC NORTE,17:30
109052,TUBO TIRADENTES,18:00
109143,ESTACAO TUBO PINHAIS,18:33
109054,TUBO NESTOR DE CASTRO,19:03
109043,ESTACAO TUBO CIC NORTE,19:32
109052,TUBO TIRADENTES,19:57
109143,ESTACAO TUBO PINHAIS,20:21
109054,TUBO NESTOR DE CASTRO,20:45
109043,ESTACAO TUBO CIC NORTE,21:12
109052,TUBO TIRADENTES,21:36
109143,ESTACAO TUBO PINHAIS,22:03
109054,TUBO NESTOR DE CASTRO,22:27
109043,ESTACAO TUBO CIC NORTE,22:54
109052,TUBO TIRADENTES,23:18
109143,ESTACAO TUBO PINHAIS,23:42
109054,TUBO NESTOR DE CASTRO,00:07
