Linha,304
Tabela,014-2
num,ponto,horario
109052,TUBO TIRADENTES,16:53
109143,ESTACAO TUBO PINHAIS,17:25
109054,TUBO NESTOR DE CASTRO,17:53
109043,ESTACAO TUBO CIC NORTE,18:23
109052,TUBO TIRADENTES,18:53
109143,ESTACAO TUBO PINHAIS,19:25
109054,TUBO NESTOR DE CASTRO,19:51
109043,ESTACAO TUBO CIC NORTE,20:21
109052,TUBO TIRADENTES,20:45
109143,ESTACAO TUBO PINHAIS,21:12
109054,TUBO NESTOR DE CASTRO,21:36
109043,ESTACAO TUBO CIC NORTE,22:03
109052,TUBO TIRADENTES,22:27
109143,ESTACAO TUBO PINHAIS,22:54
109054,TUBO NESTOR DE CASTRO,23:18
109043,ESTACAO TUBO CIC NORTE,23:42
109052,TUBO TIRADENTES,00:06
