Linha,304
Tabela,008-2
num,ponto,horario
109054,TUBO NESTOR DE CASTRO,16:47
109043,ESTACAO TUBO CIC NORTE,17:15
109052,TUBO TIRADENTES,17:45
109143,ESTACAO TUBO PINHAIS,18:20
109054,TUBO NESTOR DE CASTRO,18:52
109043,ESTACAO TUBO CIC NORTE,19:25
109052,TUBO TIRADENTES,19:51
109143,ESTACAO TUBO PINHAIS,20:14
109054,TUBO NESTOR DE CASTRO,20:40
109043,ESTACAO TUBO CIC NORTE,21:06
109052,TUBO TIRADENTES,21:31
109143,ESTACAO TUBO PINHAIS,21:56
109054,TUBO NESTOR DE CASTRO,22:22
109043,ESTACAO TUBO CIC NORTE,22:47
109052,TUBO TIRADENTES,23:13
109143,ESTACAO TUBO PINHAIS,23:41
109054,TUBO NESTOR DE CASTRO,00:07
