Linha,304
Tabela,021
num,ponto,horario
109052,TUBO TIRADENTES,17:03
109143,ESTACAO TUBO PINHAIS,17:38
109054,TUBO NESTOR DE CASTRO,18:10
109043,ESTACAO TUBO CIC NORTE,18:43
109052,TUBO TIRADENTES,19:16
109143,ESTACAO TUBO PINHAIS,19:57
109054,TUBO NESTOR DE CASTRO,20:23
109043,ESTACAO TUBO CIC NORTE,20:48
109052,TUBO TIRADENTES,21:14
109143,ESTACAO TUBO PINHAIS,21:39
109054,TUBO NESTOR DE CASTRO,22:05
109043,ESTACAO TUBO CIC NORTE,22:30
109052,TUBO TIRADENTES,22:56
109143,ESTACAO TUBO PINHAIS,23:24
109054,TUBO NESTOR DE CASTRO,23:50
