Linha,010
Tabela,001-1
num,ponto,horario
190176,RUA TAPAJOS N.1000,05:32
121012,PREFEITURA (SENTIDO HORARIO),05:37
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),06:02
121012,PREFEITURA (SENTIDO HORARIO),06:40
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),07:08
121012,PREFEITURA (SENTIDO HORARIO),07:55
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),08:32
121012,PREFEITURA (SENTIDO HORARIO),09:24
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),09:52
121012,PREFEITURA (SENTIDO HORARIO),10:36
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),11:04
121012,PREFEITURA (SENTIDO HORARIO),11:44
141010,ESTAÇÃO PUC (SENTIDO HORÁRIO),12:12
