Linha,222
Tabela,001-2
num,ponto,horario
104205,TERMINAL BOA VISTA,15:51
130929,BAIRRO VILA ESPERANCA (CIRCULAR),16:13
104205,TERMINAL BOA VISTA,16:53
130929,BAIRRO VILA ESPERANCA (CIRCULAR),17:17
104205,TERMINAL BOA VISTA,17:57
130929,BAIRRO VILA ESPERANCA (CIRCULAR),18:27
104205,TERMINAL BOA VISTA,19:06
130929,BAIRRO VILA ESPERANCA (CIRCULAR),19:28
104205,TERMINAL BOA VISTA,20:01
130929,BAIRRO VILA ESPERANCA (CIRCULAR),20:15
104205,TERMINAL BOA VISTA,20:45
130929,BAIRRO VILA ESPERANCA (CIRCULAR),20:59
104205,TERMINAL BOA VISTA,21:29
130929,BAIRRO VILA ESPERANCA (CIRCULAR),21:43
104205,TERMINAL BOA VISTA,22:12
130929,BAIRRO VILA ESPERANCA (CIRCULAR),22:26
104205,TERMINAL BOA VISTA,22:55
130929,BAIRRO VILA ESPERANCA (CIRCULAR),23:08
104205,TERMINAL BOA VISTA,23:35
130929,BAIRRO VILA ESPERANCA (CIRCULAR),23:48
104205,TERMINAL BOA VISTA,00:14
130929,BAIRRO VILA ESPERANCA (CIRCULAR),00:26
