Linha,040
Tabela,002
num,ponto,horario
105206,TERMINAL CIC/TERM.FAZENDINHA,05:12
105316,TERM.FAZENDINHA/TERM.C.COMPRID,05:27
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,05:48
106001,TERMINAL SANTA FELICIDADE,06:15
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,06:38
105309,TERM.FAZENDINHA/TERM. CIC,06:57
105211,TERMINAL CIC/TERM.PINHEIRINHO,07:14
105718,TERMINAL PINHEIRINHO,07:29
105206,TERMINAL CIC/TERM.FAZENDINHA,07:39
105316,TERM.FAZENDINHA/TERM.C.COMPRID,07:57
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,08:24
106001,TERMINAL SANTA FELICIDADE,08:50
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,09:14
105309,TERM.FAZENDINHA/TERM. CIC,09:36
105211,TERMINAL CIC/TERM.PINHEIRINHO,09:55
105718,TERMINAL PINHEIRINHO,10:10
105206,TERMINAL CIC/TERM.FAZENDINHA,10:20
105316,TERM.FAZENDINHA/TERM.C.COMPRID,10:39
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,11:04
106001,TERMINAL SANTA FELICIDADE,11:30
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,11:54
105309,TERM.FAZENDINHA/TERM. CIC,12:16
105211,TERMINAL CIC/TERM.PINHEIRINHO,12:35
105718,TERMINAL PINHEIRINHO,12:50
105206,TERMINAL CIC/TERM.FAZENDINHA,13:00
105316,TERM.FAZENDINHA/TERM.C.COMPRID,13:19
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,13:44
106001,TERMINAL SANTA FELICIDADE,14:10
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,14:34
105309,TERM.FAZENDINHA/TERM. CIC,14:56
105211,TERMINAL CIC/TERM.PINHEIRINHO,15:15
105718,TERMINAL PINHEIRINHO,15:30
105206,TERMINAL CIC/TERM.FAZENDINHA,15:40
105316,TERM.FAZENDINHA/TERM.C.COMPRID,15:59
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,16:24
106001,TERMINAL SANTA FELICIDADE,16:50
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,17:14
105309,TERM.FAZENDINHA/TERM. CIC,17:36
105211,TERMINAL CIC/TERM.PINHEIRINHO,17:55
105718,TERMINAL PINHEIRINHO,18:10
105206,TERMINAL CIC/TERM.FAZENDINHA,18:20
105316,TERM.FAZENDINHA/TERM.C.COMPRID,18:39
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,19:04
106001,TERMINAL SANTA FELICIDADE,19:30
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,19:54
105309,TERM.FAZENDINHA/TERM. CIC,20:25
105211,TERMINAL CIC/TERM.PINHEIRINHO,20:44
105718,TERMINAL PINHEIRINHO,20:57
105206,TERMINAL CIC/TERM.FAZENDINHA,21:07
105316,TERM.FAZENDINHA/TERM.C.COMPRID,21:22
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,21:42
106001,TERMINAL SANTA FELICIDADE,22:05
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,22:27
105309,TERM.FAZENDINHA/TERM. CIC,22:45
105211,TERMINAL CIC/TERM.PINHEIRINHO,23:02
105718,TERMINAL PINHEIRINHO,23:17
105206,TERMINAL CIC/TERM.FAZENDINHA,23:26
105316,TERM.FAZENDINHA/TERM.C.COMPRID,23:40
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,00:00
106001,TERMINAL SANTA FELICIDADE,00:23
