Linha,826
Tabela,002-2
num,ponto,horario
105006,TERM. CAIUA SENTIDO CIC,16:08
105205,TERMINAL CIC,16:30
105008,TERM.CAIUA SENTIDO TERM.C.COMP,16:50
104615,TERMINAL CAMPO COMPRIDO,17:15
105006,TERM. CAIUA SENTIDO CIC,17:37
105205,TERMINAL CIC,17:59
105008,TERM.CAIUA SENTIDO TERM.C.COMP,18:20
104615,TERMINAL CAMPO COMPRIDO,18:45
105006,TERM. CAIUA SENTIDO CIC,19:07
105205,TERMINAL CIC,19:31
105008,TERM.CAIUA SENTIDO TERM.C.COMP,19:46
104615,TERMINAL CAMPO COMPRIDO,20:03
105006,TERM. CAIUA SENTIDO CIC,20:20
105205,TERMINAL CIC,20:36
105008,TERM.CAIUA SENTIDO TERM.C.COMP,20:52
104615,TERMINAL CAMPO COMPRIDO,21:09
105006,TERM. CAIUA SENTIDO CIC,21:26
105205,TERMINAL CIC,21:42
105008,TERM.CAIUA SENTIDO TERM.C.COMP,21:58
104615,TERMINAL CAMPO COMPRIDO,22:14
105006,TERM. CAIUA SENTIDO CIC,22:31
105205,TERMINAL CIC,22:47
105008,TERM.CAIUA SENTIDO TERM.C.COMP,23:02
104615,TERMINAL CAMPO COMPRIDO,23:18
105006,TERM. CAIUA SENTIDO CIC,23:35
105205,TERMINAL CIC,23:51
105008,TERM.CAIUA SENTIDO TERM.C.COMP,00:06
