Linha,826
Tabela,003-2
num,ponto,horario
105008,TERM.CAIUA SENTIDO TERM.C.COMP,16:08
104615,TERMINAL CAMPO COMPRIDO,16:33
105006,TERM. CAIUA SENTIDO CIC,16:53
105205,TERMINAL CIC,17:14
105008,TERM.CAIUA SENTIDO TERM.C.COMP,17:35
104615,TERMINAL CAMPO COMPRIDO,18:00
105006,TERM. CAIUA SENTIDO CIC,18:22
105205,TERMINAL CIC,18:44
105008,TERM.CAIUA SENTIDO TERM.C.COMP,19:05
104615,TERMINAL CAMPO COMPRIDO,19:30
105006,TERM. CAIUA SENTIDO CIC,19:47
105205,TERMINAL CIC,20:03
105008,TERM.CAIUA SENTIDO TERM.C.COMP,20:19
104615,TERMINAL CAMPO COMPRIDO,20:36
105006,TERM. CAIUA SENTIDO CIC,20:53
105205,TERMINAL CIC,21:09
105008,TERM.CAIUA SENTIDO TERM.C.COMP,21:25
104615,TERMINAL CAMPO COMPRIDO,21:42
105006,TERM. CAIUA SENTIDO CIC,21:59
105205,TERMINAL CIC,22:15
105008,TERM.CAIUA SENTIDO TERM.C.COMP,22:30
104615,TERMINAL CAMPO COMPRIDO,22:46
105006,TERM. CAIUA SENTIDO CIC,23:03
105205,TERMINAL CIC,23:19
105008,TERM.CAIUA SENTIDO TERM.C.COMP,23:34
104615,TERMINAL CAMPO COMPRIDO,23:50
105006,TERM. CAIUA SENTIDO CIC,00:07
