Linha,680
Tabela,1
num,ponto,horario
171089,TERMINAL TATUQUARA,04:45
105723,TERMINAL PINHEIRINHO,05:20
171089,TERMINAL TATUQUARA,05:50
105723,TERMINAL PINHEIRINHO,06:28
171089,TERMINAL TATUQUARA,07:00
105723,TERMINAL PINHEIRINHO,07:57
171089,TERMINAL TATUQUARA,08:30
105723,TERMINAL PINHEIRINHO,09:09
171089,TERMINAL TATUQUARA,09:41
105723,TERMINAL PINHEIRINHO,10:21
171089,TERMINAL TATUQUARA,10:53
105723,TERMINAL PINHEIRINHO,11:33
171089,TERMINAL TATUQUARA,12:05
105723,TERMINAL PINHEIRINHO,12:45
171089,TERMINAL TATUQUARA,13:17
105723,TERMINAL PINHEIRINHO,13:57
171089,TERMINAL TATUQUARA,14:29
105723,TERMINAL PINHEIRINHO,15:09
171089,TERMINAL TATUQUARA,15:41
105723,TERMINAL PINHEIRINHO,16:21
171089,TERMINAL TATUQUARA,17:01
105723,TERMINAL PINHEIRINHO,17:45
171089,TERMINAL TATUQUARA,18:25
105723,TERMINAL PINHEIRINHO,19:09
