Linha,625
Tabela,006-2
num,ponto,horario
106112,TERMINAL SITIO CERCADO,17:02
104812,TERMINAL CAPAO RASO,17:36
106112,TERMINAL SITIO CERCADO,18:14
104812,TERMINAL CAPAO RASO,18:50
106112,TERMINAL SITIO CERCADO,19:28
104812,TERMINAL CAPAO RASO,20:00
106112,TERMINAL SITIO CERCADO,20:31
104812,TERMINAL CAPAO RASO,21:00
106112,TERMINAL SITIO CERCADO,21:32
104812,TERMINAL CAPAO RASO,22:01
106112,TERMINAL SITIO CERCADO,22:33
104812,TERMINAL CAPAO RASO,23:02
106112,TERMINAL SITIO CERCADO,23:34
104812,TERMINAL CAPAO RASO,00:05
