Linha,816
Tabela,002-2
num,ponto,horario
104504,TERMINAL CAMPINA DO SIQUEIRA,15:49
106002,TERMINAL SANTA FELICIDADE,16:12
104504,TERMINAL CAMPINA DO SIQUEIRA,16:38
106002,TERMINAL SANTA FELICIDADE,17:00
104504,TERMINAL CAMPINA DO SIQUEIRA,17:26
106002,TERMINAL SANTA FELICIDADE,17:48
104504,TERMINAL CAMPINA DO SIQUEIRA,18:14
106002,TERMINAL SANTA FELICIDADE,18:35
104504,TERMINAL CAMPINA DO SIQUEIRA,18:58
106002,TERMINAL SANTA FELICIDADE,19:20
104504,TERMINAL CAMPINA DO SIQUEIRA,19:42
106002,TERMINAL SANTA FELICIDADE,20:02
104504,TERMINAL CAMPINA DO SIQUEIRA,20:24
106002,TERMINAL SANTA FELICIDADE,20:44
104504,TERMINAL CAMPINA DO SIQUEIRA,21:06
106002,TERMINAL SANTA FELICIDADE,21:26
104504,TERMINAL CAMPINA DO SIQUEIRA,21:48
106002,TERMINAL SANTA FELICIDADE,22:08
104504,TERMINAL CAMPINA DO SIQUEIRA,22:28
106002,TERMINAL SANTA FELICIDADE,22:47
104504,TERMINAL CAMPINA DO SIQUEIRA,23:07
