Linha,505
Tabela,001
num,ponto,horario
109103,TERMINAL BOQUEIRAO,05:50
109037,TUBO MUSEU OSCAR NIEMEYER,06:32
109103,TERMINAL BOQUEIRAO,07:12
109037,TUBO MUSEU OSCAR NIEMEYER,07:53
109103,TERMINAL BOQUEIRAO,08:34
109037,TUBO MUSEU OSCAR NIEMEYER,09:15
109103,TERMINAL BOQUEIRAO,09:56
109037,TUBO MUSEU OSCAR NIEMEYER,10:37
109103,TERMINAL BOQUEIRAO,11:18
109037,TUBO MUSEU OSCAR NIEMEYER,11:59
109103,TERMINAL BOQUEIRAO,12:40
109037,TUBO MUSEU OSCAR NIEMEYER,13:21
109103,TERMINAL BOQUEIRAO,14:02
109037,TUBO MUSEU OSCAR NIEMEYER,14:43
109103,TERMINAL BOQUEIRAO,15:24
109037,TUBO MUSEU OSCAR NIEMEYER,16:05
109103,TERMINAL BOQUEIRAO,16:46
109037,TUBO MUSEU OSCAR NIEMEYER,17:27
109103,TERMINAL BOQUEIRAO,18:08
109037,TUBO MUSEU OSCAR NIEMEYER,18:48
109103,TERMINAL BOQUEIRAO,19:28
109037,TUBO MUSEU OSCAR NIEMEYER,20:08
109103,TERMINAL BOQUEIRAO,20:48
109037,TUBO MUSEU OSCAR NIEMEYER,21:28
109103,TERMINAL BOQUEIRAO,22:08
109037,TUBO MUSEU OSCAR NIEMEYER,22:48
