Linha,828
Tabela,005-2
num,ponto,horario
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,16:00
104613,TERMINAL CAMPO COMPRIDO,16:36
105308,T.FAZENDINHA SENTIDO T.C.RASO,17:09
104810,TERMINAL CAPAO RASO,17:31
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,17:52
104613,TERMINAL CAMPO COMPRIDO,18:28
105308,T.FAZENDINHA SENTIDO T.C.RASO,19:03
104810,TERMINAL CAPAO RASO,19:23
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,19:46
104613,TERMINAL CAMPO COMPRIDO,20:23
105308,T.FAZENDINHA SENTIDO T.C.RASO,20:45
104810,TERMINAL CAPAO RASO,21:00
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,21:14
104613,TERMINAL CAMPO COMPRIDO,21:41
105308,T.FAZENDINHA SENTIDO T.C.RASO,22:01
104810,TERMINAL CAPAO RASO,22:16
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,22:29
104613,TERMINAL CAMPO COMPRIDO,22:56
105308,T.FAZENDINHA SENTIDO T.C.RASO,23:16
104810,TERMINAL CAPAO RASO,23:32
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,23:43
104613,TERMINAL CAMPO COMPRIDO,00:08
105308,T.FAZENDINHA SENTIDO T.C.RASO,00:29
