Linha,508
Tabela,009-2
num,ponto,horario
109677,TERMINAL PINHEIRINHO,16:14
109111,TERMINAL SITIO CERCADO,16:31
109104,TERMINAL BOQUEIRAO,16:44
109026,TERMINAL GUADALUPE,17:20
109677,TERMINAL PINHEIRINHO,17:54
109111,TERMINAL SITIO CERCADO,18:13
109104,TERMINAL BOQUEIRAO,18:27
109026,TERMINAL GUADALUPE,19:02
109677,TERMINAL PINHEIRINHO,19:38
109111,TERMINAL SITIO CERCADO,19:57
109104,TERMINAL BOQUEIRAO,20:10
109026,TERMINAL GUADALUPE,20:43
109677,TERMINAL PINHEIRINHO,21:11
109111,TERMINAL SITIO CERCADO,21:27
109104,TERMINAL BOQUEIRAO,21:40
109026,TERMINAL GUADALUPE,22:12
109677,TERMINAL PINHEIRINHO,22:40
109111,TERMINAL SITIO CERCADO,22:55
109104,TERMINAL BOQUEIRAO,23:07
109026,TERMINAL GUADALUPE,23:40
109677,TERMINAL PINHEIRINHO,00:05
