Linha,779
Tabela,001
num,ponto,horario
180778,BAIRRO VILA VELHA,06:00
180989,TUBO SANTA QUITERIA S/ BURITI,06:20
180988,BAIRRO BURITI,06:34
180990,TUBO SANTA QUITERIA S/ V.VELHA,06:48
180778,BAIRRO VILA VELHA,07:04
180989,TUBO SANTA QUITERIA S/ BURITI,07:24
180988,BAIRRO BURITI,07:38
180990,TUBO SANTA QUITERIA S/ V.VELHA,07:52
180778,BAIRRO VILA VELHA,08:10
180989,TUBO SANTA QUITERIA S/ BURITI,08:30
180988,BAIRRO BURITI,08:44
180990,TUBO SANTA QUITERIA S/ V.VELHA,08:58
180778,BAIRRO VILA VELHA,09:16
180989,TUBO SANTA QUITERIA S/ BURITI,09:36
180988,BAIRRO BURITI,09:50
180990,TUBO SANTA QUITERIA S/ V.VELHA,10:04
180778,BAIRRO VILA VELHA,10:22
180989,TUBO SANTA QUITERIA S/ BURITI,10:42
180988,BAIRRO BURITI,10:56
180990,TUBO SANTA QUITERIA S/ V.VELHA,11:10
180778,BAIRRO VILA VELHA,11:28
180989,TUBO SANTA QUITERIA S/ BURITI,11:50
180988,BAIRRO BURITI,12:04
180990,TUBO SANTA QUITERIA S/ V.VELHA,12:18
180778,BAIRRO VILA VELHA,12:38
180989,TUBO SANTA QUITERIA S/ BURITI,13:00
180988,BAIRRO BURITI,13:14
180990,TUBO SANTA QUITERIA S/ V.VELHA,13:28
180778,BAIRRO VILA VELHA,13:48
180989,TUBO SANTA QUITERIA S/ BURITI,14:10
180988,BAIRRO BURITI,14:24
180990,TUBO SANTA QUITERIA S/ V.VELHA,14:38
180778,BAIRRO VILA VELHA,15:00
180989,TUBO SANTA QUITERIA S/ BURITI,15:23
180988,BAIRRO BURITI,15:37
180990,TUBO SANTA QUITERIA S/ V.VELHA,15:51
180778,BAIRRO VILA VELHA,16:13
180989,TUBO SANTA QUITERIA S/ BURITI,16:36
180988,BAIRRO BURITI,16:52
180990,TUBO SANTA QUITERIA S/ V.VELHA,17:09
180778,BAIRRO VILA VELHA,17:33
180989,TUBO SANTA QUITERIA S/ BURITI,17:57
180988,BAIRRO BURITI,18:15
180990,TUBO SANTA QUITERIA S/ V.VELHA,18:32
180778,BAIRRO VILA VELHA,18:58
180989,TUBO SANTA QUITERIA S/ BURITI,19:18
180988,BAIRRO BURITI,19:34
180990,TUBO SANTA QUITERIA S/ V.VELHA,19:51
180778,BAIRRO VILA VELHA,20:11
180989,TUBO SANTA QUITERIA S/ BURITI,20:31
180988,BAIRRO BURITI,20:45
180990,TUBO SANTA QUITERIA S/ V.VELHA,21:02
180778,BAIRRO VILA VELHA,21:22
180989,TUBO SANTA QUITERIA S/ BURITI,21:42
180988,BAIRRO BURITI,21:56
180990,TUBO SANTA QUITERIA S/ V.VELHA,22:10
180778,BAIRRO VILA VELHA,22:26
180989,TUBO SANTA QUITERIA S/ BURITI,22:44
180988,BAIRRO BURITI,22:58
180990,TUBO SANTA QUITERIA S/ V.VELHA,23:12
180778,BAIRRO VILA VELHA,23:27
180989,TUBO SANTA QUITERIA S/ BURITI,23:45
180988,BAIRRO BURITI,23:59
180990,TUBO SANTA QUITERIA S/ V.VELHA,00:09
