Linha,617
Tabela,003-2
num,ponto,horario
105740,TERMINAL PINHEIRINHO,16:27
171063,TERMINAL TATUQUARA,16:52
105740,TERMINAL PINHEIRINHO,17:36
171063,TERMINAL TATUQUARA,18:04
105740,TERMINAL PINHEIRINHO,18:46
171063,TERMINAL TATUQUARA,19:18
105740,TERMINAL PINHEIRINHO,19:53
171063,TERMINAL TATUQUARA,20:15
105740,TERMINAL PINHEIRINHO,20:49
171063,TERMINAL TATUQUARA,21:11
105740,TERMINAL PINHEIRINHO,21:45
171063,TERMINAL TATUQUARA,22:07
105740,TERMINAL PINHEIRINHO,22:41
171063,TERMINAL TATUQUARA,23:02
105740,TERMINAL PINHEIRINHO,23:36
171063,TERMINAL TATUQUARA,23:56
105740,TERMINAL PINHEIRINHO,00:30
