Linha,912
Tabela,001
num,ponto,horario
190324,BAIRRO JOSE CULPI,05:00
106010,TERMINAL SANTA FELICIDADE,05:10
190324,BAIRRO JOSE CULPI,05:23
106010,TERMINAL SANTA FELICIDADE,05:39
190324,BAIRRO JOSE CULPI,05:54
106010,TERMINAL SANTA FELICIDADE,06:10
190324,BAIRRO JOSE CULPI,06:25
106010,TERMINAL SANTA FELICIDADE,06:41
190324,BAIRRO JOSE CULPI,06:57
106010,TERMINAL SANTA FELICIDADE,07:15
190324,BAIRRO JOSE CULPI,07:32
190991,APAE / STA. FELICIDADE,07:40
106010,TERMINAL SANTA FELICIDADE,07:59
190324,BAIRRO JOSE CULPI,08:16
106010,TERMINAL SANTA FELICIDADE,08:35
190324,BAIRRO JOSE CULPI,08:52
190991,APAE / STA. FELICIDADE,09:00
106010,TERMINAL SANTA FELICIDADE,09:19
190324,BAIRRO JOSE CULPI,09:36
