Linha,707
Tabela,007
num,ponto,horario
171104,TERMINAL TATUQUARA,06:39
102244,PRACA RUI BARBOSA,07:37
171104,TERMINAL TATUQUARA,08:31
102244,PRACA RUI BARBOSA,09:26
171104,TERMINAL TATUQUARA,10:20
102244,PRACA RUI BARBOSA,11:20
171104,TERMINAL TATUQUARA,12:14
102244,PRACA RUI BARBOSA,13:14
171104,TERMINAL TATUQUARA,14:08
102244,PRACA RUI BARBOSA,15:06
171104,TERMINAL TATUQUARA,16:00
102244,PRACA RUI BARBOSA,16:58
171104,TERMINAL TATUQUARA,17:52
102244,PRACA RUI BARBOSA,18:50
171104,TERMINAL TATUQUARA,19:44
102244,PRACA RUI BARBOSA,20:43
171104,TERMINAL TATUQUARA,21:35
102244,PRACA RUI BARBOSA,22:28
171104,TERMINAL TATUQUARA,23:21
102244,PRACA RUI BARBOSA,00:13
