Linha,X43
Tabela,001-2
num,ponto,horario
191022,BRF/COPEL (SENT.C.COMPRIDO),17:30
191022,BRF/COPEL (SENT.C.COMPRIDO),17:45
191022,BRF/COPEL (SENT.C.COMPRIDO),18:02
191022,BRF/COPEL (SENT.C.COMPRIDO),18:20
