Linha,021
Tabela,007
num,ponto,horario
104405,TERMINAL CABRAL,13:55
104506,TERMINAL CAMPINA DO SIQUEIRA,14:35
104819,TERMINAL CAPAO RASO,15:01
105511,TERMINAL HAUER,15:24
104703,TERMINAL CAPAO DA IMBUIA,15:47
104405,TERMINAL CABRAL,16:10
104506,TERMINAL CAMPINA DO SIQUEIRA,16:50
104819,TERMINAL CAPAO RASO,17:16
105511,TERMINAL HAUER,17:39
104703,TERMINAL CAPAO DA IMBUIA,18:02
104405,TERMINAL CABRAL,18:25
104506,TERMINAL CAMPINA DO SIQUEIRA,19:05
104819,TERMINAL CAPAO RASO,19:31
105511,TERMINAL HAUER,19:54
104703,TERMINAL CAPAO DA IMBUIA,20:17
104405,TERMINAL CABRAL,20:40
104506,TERMINAL CAMPINA DO SIQUEIRA,21:20
104819,TERMINAL CAPAO RASO,21:46
105511,TERMINAL HAUER,22:09
104703,TERMINAL CAPAO DA IMBUIA,22:32
104405,TERMINAL CABRAL,22:55
104506,TERMINAL CAMPINA DO SIQUEIRA,23:33
104819,TERMINAL CAPAO RASO,23:57
