Linha,021
Tabela,006-1
num,ponto,horario
104405,TERMINAL CABRAL,05:45
104506,TERMINAL CAMPINA DO SIQUEIRA,06:20
104819,TERMINAL CAPAO RASO,06:45
105511,TERMINAL HAUER,07:08
104703,TERMINAL CAPAO DA IMBUIA,07:31
104405,TERMINAL CABRAL,07:54
104506,TERMINAL CAMPINA DO SIQUEIRA,08:34
104819,TERMINAL CAPAO RASO,09:00
105511,TERMINAL HAUER,09:23
104703,TERMINAL CAPAO DA IMBUIA,09:46
104405,TERMINAL CABRAL,10:09
104506,TERMINAL CAMPINA DO SIQUEIRA,10:49
104819,TERMINAL CAPAO RASO,11:15
105511,TERMINAL HAUER,11:38
104703,TERMINAL CAPAO DA IMBUIA,12:01
