Linha,374
Tabela,001-2
num,ponto,horario
103403,PRACA SANTOS ANDRADE,16:32
104002,TERMINAL BAIRRO ALTO,17:11
103403,PRACA SANTOS ANDRADE,17:50
104002,TERMINAL BAIRRO ALTO,18:31
103403,PRACA SANTOS ANDRADE,19:10
104002,TERMINAL BAIRRO ALTO,19:40
103403,PRACA SANTOS ANDRADE,20:10
104002,TERMINAL BAIRRO ALTO,20:40
103403,PRACA SANTOS ANDRADE,21:10
104002,TERMINAL BAIRRO ALTO,21:40
103403,PRACA SANTOS ANDRADE,22:10
104002,TERMINAL BAIRRO ALTO,22:40
103403,PRACA SANTOS ANDRADE,23:05
104002,TERMINAL BAIRRO ALTO,23:30
103403,PRACA SANTOS ANDRADE,23:55
