Linha,250
Tabela,013
num,ponto,horario
105933,TERMINAL PINHEIRINHO,07:13
108023,ESTACAO TUBO CENTRAL/NORTE,07:40
105934,TERMINAL SANTA CANDIDA,08:04
108024,ESTACAO TUBO CENTRAL/SUL,08:23
105933,TERMINAL PINHEIRINHO,08:58
108023,ESTACAO TUBO CENTRAL/NORTE,09:25
105934,TERMINAL SANTA CANDIDA,09:49
108024,ESTACAO TUBO CENTRAL/SUL,10:07
105933,TERMINAL PINHEIRINHO,10:41
108023,ESTACAO TUBO CENTRAL/NORTE,11:06
105934,TERMINAL SANTA CANDIDA,11:28
108024,ESTACAO TUBO CENTRAL/SUL,11:45
105933,TERMINAL PINHEIRINHO,12:19
108023,ESTACAO TUBO CENTRAL/NORTE,12:44
105934,TERMINAL SANTA CANDIDA,13:06
108024,ESTACAO TUBO CENTRAL/SUL,13:23
105933,TERMINAL PINHEIRINHO,13:57
108023,ESTACAO TUBO CENTRAL/NORTE,14:22
105934,TERMINAL SANTA CANDIDA,14:44
108024,ESTACAO TUBO CENTRAL/SUL,15:01
105933,TERMINAL PINHEIRINHO,15:35
108023,ESTACAO TUBO CENTRAL/NORTE,16:00
105934,TERMINAL SANTA CANDIDA,16:22
108024,ESTACAO TUBO CENTRAL/SUL,16:39
105933,TERMINAL PINHEIRINHO,17:13
108023,ESTACAO TUBO CENTRAL/NORTE,17:38
105934,TERMINAL SANTA CANDIDA,18:00
108024,ESTACAO TUBO CENTRAL/SUL,18:17
105933,TERMINAL PINHEIRINHO,18:51
108023,ESTACAO TUBO CENTRAL/NORTE,19:17
105934,TERMINAL SANTA CANDIDA,19:42
108024,ESTACAO TUBO CENTRAL/SUL,19:59
