Linha,040
Tabela,002-2
num,ponto,horario
105309,TERM.FAZENDINHA/TERM. CIC,16:19
105211,TERMINAL CIC/TERM.PINHEIRINHO,16:43
105718,TERMINAL PINHEIRINHO,17:01
105206,TERMINAL CIC/TERM.FAZENDINHA,17:10
105316,TERM.FAZENDINHA/TERM.C.COMPRID,17:32
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,17:58
106001,TERMINAL SANTA FELICIDADE,18:29
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,18:57
105309,TERM.FAZENDINHA/TERM. CIC,19:19
105211,TERMINAL CIC/TERM.PINHEIRINHO,19:35
105718,TERMINAL PINHEIRINHO,19:51
105206,TERMINAL CIC/TERM.FAZENDINHA,19:59
105316,TERM.FAZENDINHA/TERM.C.COMPRID,20:15
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,20:35
106001,TERMINAL SANTA FELICIDADE,21:02
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,21:23
105309,TERM.FAZENDINHA/TERM. CIC,21:43
105211,TERMINAL CIC/TERM.PINHEIRINHO,21:58
105718,TERMINAL PINHEIRINHO,22:15
105206,TERMINAL CIC/TERM.FAZENDINHA,22:23
105316,TERM.FAZENDINHA/TERM.C.COMPRID,22:40
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,22:59
106001,TERMINAL SANTA FELICIDADE,23:26
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,23:47
105309,TERM.FAZENDINHA/TERM. CIC,00:07
105211,TERMINAL CIC/TERM.PINHEIRINHO,00:22
105718,TERMINAL PINHEIRINHO,00:39
105206,TERMINAL CIC/TERM.FAZENDINHA,00:47
