Linha,040
Tabela,005-2
num,ponto,horario
105309,TERM.FAZENDINHA/TERM. CIC,16:14
105211,TERMINAL CIC/TERM.PINHEIRINHO,16:39
105718,TERMINAL PINHEIRINHO,16:57
105206,TERMINAL CIC/TERM.FAZENDINHA,17:06
105316,TERM.FAZENDINHA/TERM.C.COMPRID,17:27
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,17:52
106001,TERMINAL SANTA FELICIDADE,18:22
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,18:48
105309,TERM.FAZENDINHA/TERM. CIC,19:13
105211,TERMINAL CIC/TERM.PINHEIRINHO,19:31
105718,TERMINAL PINHEIRINHO,19:45
105206,TERMINAL CIC/TERM.FAZENDINHA,19:54
105316,TERM.FAZENDINHA/TERM.C.COMPRID,20:09
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,20:32
106001,TERMINAL SANTA FELICIDADE,20:55
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,21:18
105309,TERM.FAZENDINHA/TERM. CIC,21:37
105211,TERMINAL CIC/TERM.PINHEIRINHO,21:52
105718,TERMINAL PINHEIRINHO,22:06
105206,TERMINAL CIC/TERM.FAZENDINHA,22:15
105316,TERM.FAZENDINHA/TERM.C.COMPRID,22:30
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,22:52
106001,TERMINAL SANTA FELICIDADE,23:16
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,23:39
105309,TERM.FAZENDINHA/TERM. CIC,23:58
105211,TERMINAL CIC/TERM.PINHEIRINHO,00:13
105718,TERMINAL PINHEIRINHO,00:26
105206,TERMINAL CIC/TERM.FAZENDINHA,00:35
