Linha,040
Tabela,003-1
num,ponto,horario
105211,TERMINAL CIC/TERM.PINHEIRINHO,05:04
105718,TERMINAL PINHEIRINHO,05:21
105206,TERMINAL CIC/TERM.FAZENDINHA,05:30
105316,TERM.FAZENDINHA/TERM.C.COMPRID,05:48
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,06:13
106001,TERMINAL SANTA FELICIDADE,06:38
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,07:02
105309,TERM.FAZENDINHA/TERM. CIC,07:22
105211,TERMINAL CIC/TERM.PINHEIRINHO,07:42
105718,TERMINAL PINHEIRINHO,08:00
105206,TERMINAL CIC/TERM.FAZENDINHA,08:09
105316,TERM.FAZENDINHA/TERM.C.COMPRID,08:30
