Linha,040
Tabela,008
num,ponto,horario
105206,TERMINAL CIC/TERM.FAZENDINHA,05:38
105316,TERM.FAZENDINHA/TERM.C.COMPRID,05:58
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,06:22
106001,TERMINAL SANTA FELICIDADE,06:48
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,07:15
105309,TERM.FAZENDINHA/TERM. CIC,07:38
105211,TERMINAL CIC/TERM.PINHEIRINHO,07:58
105718,TERMINAL PINHEIRINHO,08:15
105206,TERMINAL CIC/TERM.FAZENDINHA,08:25
105316,TERM.FAZENDINHA/TERM.C.COMPRID,08:46
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,09:11
106001,TERMINAL SANTA FELICIDADE,09:39
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,10:06
105309,TERM.FAZENDINHA/TERM. CIC,10:29
105211,TERMINAL CIC/TERM.PINHEIRINHO,10:49
105718,TERMINAL PINHEIRINHO,11:06
105206,TERMINAL CIC/TERM.FAZENDINHA,11:16
105316,TERM.FAZENDINHA/TERM.C.COMPRID,11:36
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,12:01
106001,TERMINAL SANTA FELICIDADE,12:29
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,12:56
105309,TERM.FAZENDINHA/TERM. CIC,13:19
105211,TERMINAL CIC/TERM.PINHEIRINHO,13:39
105718,TERMINAL PINHEIRINHO,13:56
105206,TERMINAL CIC/TERM.FAZENDINHA,14:06
105316,TERM.FAZENDINHA/TERM.C.COMPRID,14:26
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,14:51
106001,TERMINAL SANTA FELICIDADE,15:19
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,15:46
105309,TERM.FAZENDINHA/TERM. CIC,16:09
105211,TERMINAL CIC/TERM.PINHEIRINHO,16:34
105718,TERMINAL PINHEIRINHO,16:54
105206,TERMINAL CIC/TERM.FAZENDINHA,17:04
105316,TERM.FAZENDINHA/TERM.C.COMPRID,17:26
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,17:52
106001,TERMINAL SANTA FELICIDADE,18:20
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,18:47
105309,TERM.FAZENDINHA/TERM. CIC,19:11
105211,TERMINAL CIC/TERM.PINHEIRINHO,19:28
