Linha,684
Tabela,002-2
num,ponto,horario
105924,TERMINAL PINHEIRINHO,16:24
170532,BAIRRO RIO BONITO,16:54
105924,TERMINAL PINHEIRINHO,17:42
170532,BAIRRO RIO BONITO,18:11
105924,TERMINAL PINHEIRINHO,19:02
170532,BAIRRO RIO BONITO,19:31
105924,TERMINAL PINHEIRINHO,20:16
170532,BAIRRO RIO BONITO,20:41
105924,TERMINAL PINHEIRINHO,21:19
170532,BAIRRO RIO BONITO,21:43
105924,TERMINAL PINHEIRINHO,22:20
170532,BAIRRO RIO BONITO,22:43
105924,TERMINAL PINHEIRINHO,23:20
170532,BAIRRO RIO BONITO,23:43
105924,TERMINAL PINHEIRINHO,00:20
