Linha,206
Tabela,006
num,ponto,horario
441009,TUBO SAO JOSE DOS PINHAIS,06:07
109031,TUBO GUADALUPE/SENT.SECRETARIA,06:38
109078,TERMINAL BARREIRINHA,07:03
109029,ESTACAO TUBO GUADALUPE,07:31
441009,TUBO SAO JOSE DOS PINHAIS,08:10
109031,TUBO GUADALUPE/SENT.SECRETARIA,08:49
109078,TERMINAL BARREIRINHA,09:18
109029,ESTACAO TUBO GUADALUPE,09:44
441009,TUBO SAO JOSE DOS PINHAIS,10:20
109031,TUBO GUADALUPE/SENT.SECRETARIA,10:56
109078,TERMINAL BARREIRINHA,11:24
109029,ESTACAO TUBO GUADALUPE,11:50
441009,TUBO SAO JOSE DOS PINHAIS,12:26
109031,TUBO GUADALUPE/SENT.SECRETARIA,13:02
109078,TERMINAL BARREIRINHA,13:30
109029,ESTACAO TUBO GUADALUPE,13:56
441009,TUBO SAO JOSE DOS PINHAIS,14:32
109031,TUBO GUADALUPE/SENT.SECRETARIA,15:08
109078,TERMINAL BARREIRINHA,15:36
109029,ESTACAO TUBO GUADALUPE,16:02
441009,TUBO SAO JOSE DOS PINHAIS,16:41
109031,TUBO GUADALUPE/SENT.SECRETARIA,17:22
109078,TERMINAL BARREIRINHA,17:55
109029,ESTACAO TUBO GUADALUPE,18:28
441009,TUBO SAO JOSE DOS PINHAIS,19:09
109031,TUBO GUADALUPE/SENT.SECRETARIA,19:43
109078,TERMINAL BARREIRINHA,20:05
109029,ESTACAO TUBO GUADALUPE,20:26
