Linha,206
Tabela,011-2
num,ponto,horario
441009,TUBO SAO JOSE DOS PINHAIS,16:54
109031,TUBO GUADALUPE/SENT.SECRETARIA,17:30
109078,TERMINAL BARREIRINHA,18:00
109029,ESTACAO TUBO GUADALUPE,18:30
441009,TUBO SAO JOSE DOS PINHAIS,19:16
109031,TUBO GUADALUPE/SENT.SECRETARIA,19:50
109078,TERMINAL BARREIRINHA,20:20
109029,ESTACAO TUBO GUADALUPE,20:40
441009,TUBO SAO JOSE DOS PINHAIS,21:10
109031,TUBO GUADALUPE/SENT.SECRETARIA,21:38
109078,TERMINAL BARREIRINHA,22:00
109029,ESTACAO TUBO GUADALUPE,22:20
441009,TUBO SAO JOSE DOS PINHAIS,22:50
109031,TUBO GUADALUPE/SENT.SECRETARIA,23:20
