Linha,X45
Tabela,002
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:13
109117,TERMINAL CAPAO DA IMBUIA,06:31
109120,TERMINAL BAIRRO ALTO,06:49
109117,TERMINAL CAPAO DA IMBUIA,07:07
109120,TERMINAL BAIRRO ALTO,07:25
109117,TERMINAL CAPAO DA IMBUIA,07:43
109120,TERMINAL BAIRRO ALTO,08:01
109117,TERMINAL CAPAO DA IMBUIA,08:19
109120,TERMINAL BAIRRO ALTO,08:37
109117,TERMINAL CAPAO DA IMBUIA,08:55
109120,TERMINAL BAIRRO ALTO,09:13
109117,TERMINAL CAPAO DA IMBUIA,09:31
109120,TERMINAL BAIRRO ALTO,09:49
109117,TERMINAL CAPAO DA IMBUIA,10:07
109120,TERMINAL BAIRRO ALTO,10:25
109117,TERMINAL CAPAO DA IMBUIA,10:43
109120,TERMINAL BAIRRO ALTO,11:01
109117,TERMINAL CAPAO DA IMBUIA,11:19
109120,TERMINAL BAIRRO ALTO,11:37
109117,TERMINAL CAPAO DA IMBUIA,11:55
109120,TERMINAL BAIRRO ALTO,12:13
109117,TERMINAL CAPAO DA IMBUIA,12:31
109120,TERMINAL BAIRRO ALTO,12:49
109117,TERMINAL CAPAO DA IMBUIA,13:07
109120,TERMINAL BAIRRO ALTO,13:25
109117,TERMINAL CAPAO DA IMBUIA,13:43
109120,TERMINAL BAIRRO ALTO,14:01
109117,TERMINAL CAPAO DA IMBUIA,14:19
109120,TERMINAL BAIRRO ALTO,14:37
109117,TERMINAL CAPAO DA IMBUIA,14:55
109120,TERMINAL BAIRRO ALTO,15:13
109117,TERMINAL CAPAO DA IMBUIA,15:31
109120,TERMINAL BAIRRO ALTO,15:49
109117,TERMINAL CAPAO DA IMBUIA,16:07
109120,TERMINAL BAIRRO ALTO,16:25
109117,TERMINAL CAPAO DA IMBUIA,16:43
109120,TERMINAL BAIRRO ALTO,17:01
109117,TERMINAL CAPAO DA IMBUIA,17:19
109120,TERMINAL BAIRRO ALTO,17:37
109117,TERMINAL CAPAO DA IMBUIA,17:55
109120,TERMINAL BAIRRO ALTO,18:13
109117,TERMINAL CAPAO DA IMBUIA,18:31
109120,TERMINAL BAIRRO ALTO,18:49
109117,TERMINAL CAPAO DA IMBUIA,19:07
109120,TERMINAL BAIRRO ALTO,19:25
109117,TERMINAL CAPAO DA IMBUIA,19:43
109120,TERMINAL BAIRRO ALTO,20:01
109117,TERMINAL CAPAO DA IMBUIA,20:19
109120,TERMINAL BAIRRO ALTO,20:37
109117,TERMINAL CAPAO DA IMBUIA,20:55
109120,TERMINAL BAIRRO ALTO,21:13
109117,TERMINAL CAPAO DA IMBUIA,21:31
109120,TERMINAL BAIRRO ALTO,21:49
109117,TERMINAL CAPAO DA IMBUIA,22:07
109120,TERMINAL BAIRRO ALTO,22:25
109117,TERMINAL CAPAO DA IMBUIA,22:43
109120,TERMINAL BAIRRO ALTO,23:01
109117,TERMINAL CAPAO DA IMBUIA,23:19
109120,TERMINAL BAIRRO ALTO,23:37
