Linha,X45
Tabela,001
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,05:55
109117,TERMINAL CAPAO DA IMBUIA,06:13
109120,TERMINAL BAIRRO ALTO,06:31
109117,TERMINAL CAPAO DA IMBUIA,06:49
109120,TERMINAL BAIRRO ALTO,07:07
109117,TERMINAL CAPAO DA IMBUIA,07:25
109120,TERMINAL BAIRRO ALTO,07:43
109117,TERMINAL CAPAO DA IMBUIA,08:01
109120,TERMINAL BAIRRO ALTO,08:19
109117,TERMINAL CAPAO DA IMBUIA,08:37
109120,TERMINAL BAIRRO ALTO,08:55
109117,TERMINAL CAPAO DA IMBUIA,09:13
109120,TERMINAL BAIRRO ALTO,09:31
109117,TERMINAL CAPAO DA IMBUIA,09:49
109120,TERMINAL BAIRRO ALTO,10:07
109117,TERMINAL CAPAO DA IMBUIA,10:25
109120,TERMINAL BAIRRO ALTO,10:43
109117,TERMINAL CAPAO DA IMBUIA,11:01
109120,TERMINAL BAIRRO ALTO,11:19
109117,TERMINAL CAPAO DA IMBUIA,11:37
109120,TERMINAL BAIRRO ALTO,11:55
109117,TERMINAL CAPAO DA IMBUIA,12:13
109120,TERMINAL BAIRRO ALTO,12:31
109117,TERMINAL CAPAO DA IMBUIA,12:49
109120,TERMINAL BAIRRO ALTO,13:07
109117,TERMINAL CAPAO DA IMBUIA,13:25
109120,TERMINAL BAIRRO ALTO,13:43
109117,TERMINAL CAPAO DA IMBUIA,14:01
109120,TERMINAL BAIRRO ALTO,14:19
109117,TERMINAL CAPAO DA IMBUIA,14:37
