Linha,X45
Tabela,001
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,05:55
109117,TERMINAL CAPAO DA IMBUIA,06:12
109120,TERMINAL BAIRRO ALTO,06:28
109117,TERMINAL CAPAO DA IMBUIA,06:45
109120,TERMINAL BAIRRO ALTO,07:02
109117,TERMINAL CAPAO DA IMBUIA,07:22
109120,TERMINAL BAIRRO ALTO,07:44
109117,TERMINAL CAPAO DA IMBUIA,08:02
109120,TERMINAL BAIRRO ALTO,08:24
109117,TERMINAL CAPAO DA IMBUIA,08:42
109120,TERMINAL BAIRRO ALTO,09:00
109117,TERMINAL CAPAO DA IMBUIA,09:16
109120,TERMINAL BAIRRO ALTO,09:33
109117,TERMINAL CAPAO DA IMBUIA,09:48
109120,TERMINAL BAIRRO ALTO,10:04
109117,TERMINAL CAPAO DA IMBUIA,10:21
109120,TERMINAL BAIRRO ALTO,10:39
109117,TERMINAL CAPAO DA IMBUIA,10:55
109120,TERMINAL BAIRRO ALTO,11:09
109117,TERMINAL CAPAO DA IMBUIA,11:23
109120,TERMINAL BAIRRO ALTO,11:42
109117,TERMINAL CAPAO DA IMBUIA,11:57
109120,TERMINAL BAIRRO ALTO,12:15
109117,TERMINAL CAPAO DA IMBUIA,12:32
109120,TERMINAL BAIRRO ALTO,12:46
109117,TERMINAL CAPAO DA IMBUIA,13:04
109120,TERMINAL BAIRRO ALTO,13:20
109117,TERMINAL CAPAO DA IMBUIA,13:37
109120,TERMINAL BAIRRO ALTO,13:54
109117,TERMINAL CAPAO DA IMBUIA,14:12
109120,TERMINAL BAIRRO ALTO,14:30
109117,TERMINAL CAPAO DA IMBUIA,14:47
109120,TERMINAL BAIRRO ALTO,15:03
109117,TERMINAL CAPAO DA IMBUIA,15:22
109120,TERMINAL BAIRRO ALTO,15:40
109117,TERMINAL CAPAO DA IMBUIA,15:56
109120,TERMINAL BAIRRO ALTO,16:12
109117,TERMINAL CAPAO DA IMBUIA,16:30
109120,TERMINAL BAIRRO ALTO,16:47
109117,TERMINAL CAPAO DA IMBUIA,17:03
109120,TERMINAL BAIRRO ALTO,17:22
109117,TERMINAL CAPAO DA IMBUIA,17:40
109120,TERMINAL BAIRRO ALTO,17:59
109117,TERMINAL CAPAO DA IMBUIA,18:17
109120,TERMINAL BAIRRO ALTO,18:36
109117,TERMINAL CAPAO DA IMBUIA,18:54
109120,TERMINAL BAIRRO ALTO,19:11
109117,TERMINAL CAPAO DA IMBUIA,19:29
109120,TERMINAL BAIRRO ALTO,19:48
109117,TERMINAL CAPAO DA IMBUIA,20:02
109120,TERMINAL BAIRRO ALTO,20:19
109117,TERMINAL CAPAO DA IMBUIA,20:36
109120,TERMINAL BAIRRO ALTO,20:50
109117,TERMINAL CAPAO DA IMBUIA,21:06
109120,TERMINAL BAIRRO ALTO,21:23
109117,TERMINAL CAPAO DA IMBUIA,21:40
109120,TERMINAL BAIRRO ALTO,21:56
109117,TERMINAL CAPAO DA IMBUIA,22:12
109120,TERMINAL BAIRRO ALTO,22:29
109117,TERMINAL CAPAO DA IMBUIA,22:45
109120,TERMINAL BAIRRO ALTO,22:59
109117,TERMINAL CAPAO DA IMBUIA,23:13
109120,TERMINAL BAIRRO ALTO,23:27
109117,TERMINAL CAPAO DA IMBUIA,23:41
109120,TERMINAL BAIRRO ALTO,23:55
109117,TERMINAL CAPAO DA IMBUIA,00:08
