Linha,X45
Tabela,002
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:05
109117,TERMINAL CAPAO DA IMBUIA,06:20
109120,TERMINAL BAIRRO ALTO,06:38
109117,TERMINAL CAPAO DA IMBUIA,06:56
109120,TERMINAL BAIRRO ALTO,07:16
109117,TERMINAL CAPAO DA IMBUIA,07:35
109120,TERMINAL BAIRRO ALTO,07:56
109117,TERMINAL CAPAO DA IMBUIA,08:16
109120,TERMINAL BAIRRO ALTO,08:35
109117,TERMINAL CAPAO DA IMBUIA,08:52
109120,TERMINAL BAIRRO ALTO,09:10
109117,TERMINAL CAPAO DA IMBUIA,09:27
109120,TERMINAL BAIRRO ALTO,09:45
109117,TERMINAL CAPAO DA IMBUIA,10:02
109120,TERMINAL BAIRRO ALTO,10:20
109117,TERMINAL CAPAO DA IMBUIA,10:37
109120,TERMINAL BAIRRO ALTO,10:55
109117,TERMINAL CAPAO DA IMBUIA,11:12
109120,TERMINAL BAIRRO ALTO,11:30
109117,TERMINAL CAPAO DA IMBUIA,11:47
109120,TERMINAL BAIRRO ALTO,12:05
109117,TERMINAL CAPAO DA IMBUIA,12:22
109120,TERMINAL BAIRRO ALTO,12:40
109117,TERMINAL CAPAO DA IMBUIA,12:58
109120,TERMINAL BAIRRO ALTO,13:18
109117,TERMINAL CAPAO DA IMBUIA,13:37
109120,TERMINAL BAIRRO ALTO,13:57
109117,TERMINAL CAPAO DA IMBUIA,14:16
109120,TERMINAL BAIRRO ALTO,14:36
109117,TERMINAL CAPAO DA IMBUIA,14:55
109120,TERMINAL BAIRRO ALTO,15:15
109117,TERMINAL CAPAO DA IMBUIA,15:34
109120,TERMINAL BAIRRO ALTO,15:53
109117,TERMINAL CAPAO DA IMBUIA,16:11
109120,TERMINAL BAIRRO ALTO,16:33
109117,TERMINAL CAPAO DA IMBUIA,16:54
109120,TERMINAL BAIRRO ALTO,17:16
109117,TERMINAL CAPAO DA IMBUIA,17:38
109120,TERMINAL BAIRRO ALTO,18:00
109117,TERMINAL CAPAO DA IMBUIA,18:21
109120,TERMINAL BAIRRO ALTO,18:43
109117,TERMINAL CAPAO DA IMBUIA,19:04
109120,TERMINAL BAIRRO ALTO,19:28
109117,TERMINAL CAPAO DA IMBUIA,19:49
109120,TERMINAL BAIRRO ALTO,20:09
109117,TERMINAL CAPAO DA IMBUIA,20:27
109120,TERMINAL BAIRRO ALTO,20:47
109117,TERMINAL CAPAO DA IMBUIA,21:05
109120,TERMINAL BAIRRO ALTO,21:25
109117,TERMINAL CAPAO DA IMBUIA,21:43
109120,TERMINAL BAIRRO ALTO,22:01
109117,TERMINAL CAPAO DA IMBUIA,22:19
109120,TERMINAL BAIRRO ALTO,22:36
109117,TERMINAL CAPAO DA IMBUIA,22:53
109120,TERMINAL BAIRRO ALTO,23:10
109117,TERMINAL CAPAO DA IMBUIA,23:27
109120,TERMINAL BAIRRO ALTO,23:44
109117,TERMINAL CAPAO DA IMBUIA,00:00
