Linha,X45
Tabela,003
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:15
109117,TERMINAL CAPAO DA IMBUIA,06:31
109120,TERMINAL BAIRRO ALTO,06:50
109117,TERMINAL CAPAO DA IMBUIA,07:09
109120,TERMINAL BAIRRO ALTO,07:29
109117,TERMINAL CAPAO DA IMBUIA,07:49
109120,TERMINAL BAIRRO ALTO,08:09
109117,TERMINAL CAPAO DA IMBUIA,08:30
109120,TERMINAL BAIRRO ALTO,08:49
109117,TERMINAL CAPAO DA IMBUIA,09:09
109120,TERMINAL BAIRRO ALTO,09:27
109117,TERMINAL CAPAO DA IMBUIA,09:44
109120,TERMINAL BAIRRO ALTO,10:02
109117,TERMINAL CAPAO DA IMBUIA,10:19
109120,TERMINAL BAIRRO ALTO,10:37
109117,TERMINAL CAPAO DA IMBUIA,10:54
109120,TERMINAL BAIRRO ALTO,11:12
109117,TERMINAL CAPAO DA IMBUIA,11:29
109120,TERMINAL BAIRRO ALTO,11:47
109117,TERMINAL CAPAO DA IMBUIA,12:04
109120,TERMINAL BAIRRO ALTO,12:22
109117,TERMINAL CAPAO DA IMBUIA,12:40
109120,TERMINAL BAIRRO ALTO,12:59
109117,TERMINAL CAPAO DA IMBUIA,13:18
109120,TERMINAL BAIRRO ALTO,13:38
109117,TERMINAL CAPAO DA IMBUIA,13:57
109120,TERMINAL BAIRRO ALTO,14:17
109117,TERMINAL CAPAO DA IMBUIA,14:36
109120,TERMINAL BAIRRO ALTO,14:56
109117,TERMINAL CAPAO DA IMBUIA,15:15
109120,TERMINAL BAIRRO ALTO,15:36
109117,TERMINAL CAPAO DA IMBUIA,15:54
109120,TERMINAL BAIRRO ALTO,16:15
109117,TERMINAL CAPAO DA IMBUIA,16:39
109120,TERMINAL BAIRRO ALTO,17:01
109117,TERMINAL CAPAO DA IMBUIA,17:23
109120,TERMINAL BAIRRO ALTO,17:45
109117,TERMINAL CAPAO DA IMBUIA,18:07
109120,TERMINAL BAIRRO ALTO,18:29
109117,TERMINAL CAPAO DA IMBUIA,18:49
109120,TERMINAL BAIRRO ALTO,19:11
109117,TERMINAL CAPAO DA IMBUIA,19:31
109120,TERMINAL BAIRRO ALTO,19:50
109117,TERMINAL CAPAO DA IMBUIA,20:08
109120,TERMINAL BAIRRO ALTO,20:28
109117,TERMINAL CAPAO DA IMBUIA,20:46
109120,TERMINAL BAIRRO ALTO,21:06
109117,TERMINAL CAPAO DA IMBUIA,21:24
109120,TERMINAL BAIRRO ALTO,21:43
109117,TERMINAL CAPAO DA IMBUIA,22:01
109120,TERMINAL BAIRRO ALTO,22:19
109117,TERMINAL CAPAO DA IMBUIA,22:36
109120,TERMINAL BAIRRO ALTO,22:53
109117,TERMINAL CAPAO DA IMBUIA,23:10
109120,TERMINAL BAIRRO ALTO,23:27
109117,TERMINAL CAPAO DA IMBUIA,23:44
109120,TERMINAL BAIRRO ALTO,00:00
