Linha,814
Tabela,003-2
num,ponto,horario
104502,TERMINAL CAMPINA DO SIQUEIRA,16:15
180017,BAIRRO MOSSUNGUE,16:37
104502,TERMINAL CAMPINA DO SIQUEIRA,17:01
180017,BAIRRO MOSSUNGUE,17:23
104502,TERMINAL CAMPINA DO SIQUEIRA,17:49
180017,BAIRRO MOSSUNGUE,18:11
104502,TERMINAL CAMPINA DO SIQUEIRA,18:37
180017,BAIRRO MOSSUNGUE,18:59
104502,TERMINAL CAMPINA DO SIQUEIRA,19:25
180017,BAIRRO MOSSUNGUE,19:43
104502,TERMINAL CAMPINA DO SIQUEIRA,20:04
180017,BAIRRO MOSSUNGUE,20:22
104502,TERMINAL CAMPINA DO SIQUEIRA,20:43
180017,BAIRRO MOSSUNGUE,21:01
104502,TERMINAL CAMPINA DO SIQUEIRA,21:22
180017,BAIRRO MOSSUNGUE,21:40
104502,TERMINAL CAMPINA DO SIQUEIRA,22:01
180017,BAIRRO MOSSUNGUE,22:19
104502,TERMINAL CAMPINA DO SIQUEIRA,22:40
180017,BAIRRO MOSSUNGUE,22:59
104502,TERMINAL CAMPINA DO SIQUEIRA,23:20
180017,BAIRRO MOSSUNGUE,23:39
104502,TERMINAL CAMPINA DO SIQUEIRA,00:00
