Linha,965
Tabela,001-1
num,ponto,horario
106005,TERMINAL SANTA FELICIDADE,05:15
101013,PRACA TIRADENTES,05:47
106005,TERMINAL SANTA FELICIDADE,06:24
101013,PRACA TIRADENTES,07:02
106005,TERMINAL SANTA FELICIDADE,07:39
101013,PRACA TIRADENTES,08:22
106005,TERMINAL SANTA FELICIDADE,08:58
101013,PRACA TIRADENTES,09:35
106005,TERMINAL SANTA FELICIDADE,10:10
101013,PRACA TIRADENTES,10:45
106005,TERMINAL SANTA FELICIDADE,11:20
101013,PRACA TIRADENTES,11:55
106005,TERMINAL SANTA FELICIDADE,12:30
101013,PRACA TIRADENTES,13:08
