Linha,712
Tabela,2-2
num,ponto,horario
105314,TERMINAL FAZENDINHA,17:02
105209,TERMINAL CIC,17:26
105314,TERMINAL FAZENDINHA,17:48
105209,TERMINAL CIC,18:15
105314,TERMINAL FAZENDINHA,18:36
105209,TERMINAL CIC,19:03
105314,TERMINAL FAZENDINHA,19:25
105209,TERMINAL CIC,19:46
105314,TERMINAL FAZENDINHA,20:07
105209,TERMINAL CIC,20:29
105314,TERMINAL FAZENDINHA,20:49
105209,TERMINAL CIC,21:11
105314,TERMINAL FAZENDINHA,21:31
105209,TERMINAL CIC,21:53
105314,TERMINAL FAZENDINHA,22:13
105209,TERMINAL CIC,22:35
105314,TERMINAL FAZENDINHA,22:55
105209,TERMINAL CIC,23:17
105314,TERMINAL FAZENDINHA,23:37
