Linha,X41
Tabela,002-1
num,ponto,horario
180315,RUA CASSILDA SANTOS CANFIELD,06:24
104912,TERMINAL C.RASO-VAZIO,06:46
180315,RUA CASSILDA SANTOS CANFIELD,07:08
