Linha,702
Tabela,004
num,ponto,horario
109132,TERMINAL CAIUA,05:53
109041,TUBO PRACA 19 DE DEZEMBRO,06:33
109142,TERMINAL CACHOEIRA,07:02
109028,TERMINAL GUADALUPE,07:52
109132,TERMINAL CAIUA,08:36
109041,TUBO PRACA 19 DE DEZEMBRO,09:21
109142,TERMINAL CACHOEIRA,09:54
109028,TERMINAL GUADALUPE,10:34
109132,TERMINAL CAIUA,11:11
109041,TUBO PRACA 19 DE DEZEMBRO,11:59
109142,TERMINAL CACHOEIRA,12:30
109028,TERMINAL GUADALUPE,13:10
109132,TERMINAL CAIUA,13:47
109041,TUBO PRACA 19 DE DEZEMBRO,14:38
109142,TERMINAL CACHOEIRA,15:09
109028,TERMINAL GUADALUPE,15:48
109132,TERMINAL CAIUA,16:32
109041,TUBO PRACA 19 DE DEZEMBRO,17:26
109142,TERMINAL CACHOEIRA,18:10
109028,TERMINAL GUADALUPE,18:57
