Linha,515
Tabela,006-2
num,ponto,horario
104309,TERMINAL BOQUEIRAO,16:47
105508,TERMINAL HAUER,17:14
104309,TERMINAL BOQUEIRAO,17:41
105508,TERMINAL HAUER,18:08
104309,TERMINAL BOQUEIRAO,18:35
105508,TERMINAL HAUER,19:02
104309,TERMINAL BOQUEIRAO,19:30
105508,TERMINAL HAUER,19:48
104309,TERMINAL BOQUEIRAO,20:08
105508,TERMINAL HAUER,20:28
104309,TERMINAL BOQUEIRAO,20:48
105508,TERMINAL HAUER,21:08
104309,TERMINAL BOQUEIRAO,21:28
105508,TERMINAL HAUER,21:48
104309,TERMINAL BOQUEIRAO,22:08
105508,TERMINAL HAUER,22:28
104309,TERMINAL BOQUEIRAO,22:48
105508,TERMINAL HAUER,23:08
104309,TERMINAL BOQUEIRAO,23:28
105508,TERMINAL HAUER,23:48
