Linha,X42
Tabela,005-2
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,16:24
104406,TERMINAL CABRAL,17:04
104703,TERMINAL CAPAO DA IMBUIA,17:51
104406,TERMINAL CABRAL,18:31
104703,TERMINAL CAPAO DA IMBUIA,19:17
104406,TERMINAL CABRAL,19:48
104703,TERMINAL CAPAO DA IMBUIA,20:22
104406,TERMINAL CABRAL,20:52
104703,TERMINAL CAPAO DA IMBUIA,21:27
104406,TERMINAL CABRAL,21:57
104703,TERMINAL CAPAO DA IMBUIA,22:32
104406,TERMINAL CABRAL,23:02
104703,TERMINAL CAPAO DA IMBUIA,23:35
104406,TERMINAL CABRAL,00:05
