Linha,X42
Tabela,002
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,05:15
104406,TERMINAL CABRAL,05:40
104703,TERMINAL CAPAO DA IMBUIA,06:05
104406,TERMINAL CABRAL,06:31
104703,TERMINAL CAPAO DA IMBUIA,07:02
104406,TERMINAL CABRAL,07:32
104703,TERMINAL CAPAO DA IMBUIA,08:06
104406,TERMINAL CABRAL,08:37
104703,TERMINAL CAPAO DA IMBUIA,09:07
104406,TERMINAL CABRAL,09:37
104703,TERMINAL CAPAO DA IMBUIA,10:07
104406,TERMINAL CABRAL,10:37
104703,TERMINAL CAPAO DA IMBUIA,11:07
104406,TERMINAL CABRAL,11:37
104703,TERMINAL CAPAO DA IMBUIA,12:07
104406,TERMINAL CABRAL,12:37
104703,TERMINAL CAPAO DA IMBUIA,13:07
104406,TERMINAL CABRAL,13:37
104703,TERMINAL CAPAO DA IMBUIA,14:07
104406,TERMINAL CABRAL,14:37
104703,TERMINAL CAPAO DA IMBUIA,15:07
104406,TERMINAL CABRAL,15:38
104703,TERMINAL CAPAO DA IMBUIA,16:20
104406,TERMINAL CABRAL,16:53
104703,TERMINAL CAPAO DA IMBUIA,17:42
104406,TERMINAL CABRAL,18:17
104703,TERMINAL CAPAO DA IMBUIA,19:05
104406,TERMINAL CABRAL,19:35
104703,TERMINAL CAPAO DA IMBUIA,20:11
104406,TERMINAL CABRAL,20:36
104703,TERMINAL CAPAO DA IMBUIA,21:01
104406,TERMINAL CABRAL,21:26
104703,TERMINAL CAPAO DA IMBUIA,21:51
104406,TERMINAL CABRAL,22:16
104703,TERMINAL CAPAO DA IMBUIA,22:41
104406,TERMINAL CABRAL,23:06
104703,TERMINAL CAPAO DA IMBUIA,23:31
104406,TERMINAL CABRAL,23:56
104703,TERMINAL CAPAO DA IMBUIA,00:21
