Linha,X42
Tabela,004
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,05:25
104406,TERMINAL CABRAL,05:51
104703,TERMINAL CAPAO DA IMBUIA,06:23
104406,TERMINAL CABRAL,06:51
104703,TERMINAL CAPAO DA IMBUIA,07:24
104406,TERMINAL CABRAL,07:54
104703,TERMINAL CAPAO DA IMBUIA,08:27
104406,TERMINAL CABRAL,08:57
104703,TERMINAL CAPAO DA IMBUIA,09:27
104406,TERMINAL CABRAL,09:57
104703,TERMINAL CAPAO DA IMBUIA,10:27
104406,TERMINAL CABRAL,10:57
104703,TERMINAL CAPAO DA IMBUIA,11:27
104406,TERMINAL CABRAL,11:57
104703,TERMINAL CAPAO DA IMBUIA,12:27
104406,TERMINAL CABRAL,12:57
104703,TERMINAL CAPAO DA IMBUIA,13:27
104406,TERMINAL CABRAL,13:57
104703,TERMINAL CAPAO DA IMBUIA,14:27
104406,TERMINAL CABRAL,14:57
104703,TERMINAL CAPAO DA IMBUIA,15:30
104406,TERMINAL CABRAL,15:58
104703,TERMINAL CAPAO DA IMBUIA,16:41
104406,TERMINAL CABRAL,17:16
104703,TERMINAL CAPAO DA IMBUIA,18:06
104406,TERMINAL CABRAL,18:41
104703,TERMINAL CAPAO DA IMBUIA,19:27
