Linha,X42
Tabela,004-2
num,ponto,horario
104406,TERMINAL CABRAL,16:20
104703,TERMINAL CAPAO DA IMBUIA,16:58
104406,TERMINAL CABRAL,17:33
104703,TERMINAL CAPAO DA IMBUIA,18:13
104406,TERMINAL CABRAL,18:48
104703,TERMINAL CAPAO DA IMBUIA,19:27
104406,TERMINAL CABRAL,19:57
104703,TERMINAL CAPAO DA IMBUIA,20:24
104406,TERMINAL CABRAL,20:49
104703,TERMINAL CAPAO DA IMBUIA,21:17
104406,TERMINAL CABRAL,21:42
104703,TERMINAL CAPAO DA IMBUIA,22:10
104406,TERMINAL CABRAL,22:35
104703,TERMINAL CAPAO DA IMBUIA,23:03
104406,TERMINAL CABRAL,23:28
104703,TERMINAL CAPAO DA IMBUIA,23:54
104406,TERMINAL CABRAL,00:16
