Linha,X42
Tabela,006
num,ponto,horario
104406,TERMINAL CABRAL,16:46
104703,TERMINAL CAPAO DA IMBUIA,17:24
104406,TERMINAL CABRAL,17:59
104703,TERMINAL CAPAO DA IMBUIA,18:39
104406,TERMINAL CABRAL,19:14
104703,TERMINAL CAPAO DA IMBUIA,19:54
104406,TERMINAL CABRAL,20:23
104703,TERMINAL CAPAO DA IMBUIA,20:51
104406,TERMINAL CABRAL,21:16
104703,TERMINAL CAPAO DA IMBUIA,21:44
104406,TERMINAL CABRAL,22:09
104703,TERMINAL CAPAO DA IMBUIA,22:37
104406,TERMINAL CABRAL,23:02
104703,TERMINAL CAPAO DA IMBUIA,23:29
104406,TERMINAL CABRAL,23:53
104703,TERMINAL CAPAO DA IMBUIA,00:18
