Linha,X42
Tabela,007-1
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,06:21
104406,TERMINAL CABRAL,06:55
104703,TERMINAL CAPAO DA IMBUIA,07:30
104406,TERMINAL CABRAL,08:06
104703,TERMINAL CAPAO DA IMBUIA,08:42
