Linha,X42
Tabela,002-2
num,ponto,horario
104406,TERMINAL CABRAL,16:29
104703,TERMINAL CAPAO DA IMBUIA,17:11
104406,TERMINAL CABRAL,17:51
104703,TERMINAL CAPAO DA IMBUIA,18:39
104406,TERMINAL CABRAL,19:17
