Linha,X42
Tabela,008
num,ponto,horario
104406,TERMINAL CABRAL,16:33
104703,TERMINAL CAPAO DA IMBUIA,17:18
104406,TERMINAL CABRAL,17:58
104703,TERMINAL CAPAO DA IMBUIA,18:46
104406,TERMINAL CABRAL,19:22
104703,TERMINAL CAPAO DA IMBUIA,20:00
104406,TERMINAL CABRAL,20:30
104703,TERMINAL CAPAO DA IMBUIA,21:05
104406,TERMINAL CABRAL,21:35
104703,TERMINAL CAPAO DA IMBUIA,22:10
104406,TERMINAL CABRAL,22:40
104703,TERMINAL CAPAO DA IMBUIA,23:15
104406,TERMINAL CABRAL,23:45
104703,TERMINAL CAPAO DA IMBUIA,00:15
