Linha,X42
Tabela,007
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,05:45
104406,TERMINAL CABRAL,06:20
104703,TERMINAL CAPAO DA IMBUIA,06:59
104406,TERMINAL CABRAL,07:34
104703,TERMINAL CAPAO DA IMBUIA,08:09
104406,TERMINAL CABRAL,08:46
104703,TERMINAL CAPAO DA IMBUIA,09:21
104406,TERMINAL CABRAL,09:56
104703,TERMINAL CAPAO DA IMBUIA,10:31
104406,TERMINAL CABRAL,11:06
104703,TERMINAL CAPAO DA IMBUIA,11:41
104406,TERMINAL CABRAL,12:16
104703,TERMINAL CAPAO DA IMBUIA,12:51
104406,TERMINAL CABRAL,13:26
104703,TERMINAL CAPAO DA IMBUIA,14:01
104406,TERMINAL CABRAL,14:36
104703,TERMINAL CAPAO DA IMBUIA,15:12
104406,TERMINAL CABRAL,15:46
104703,TERMINAL CAPAO DA IMBUIA,16:24
104406,TERMINAL CABRAL,17:04
104703,TERMINAL CAPAO DA IMBUIA,17:47
104406,TERMINAL CABRAL,18:29
104703,TERMINAL CAPAO DA IMBUIA,19:17
